"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",2.04011585613593,0.174977971779542,11.6592725094923,2.05793155000125e-31
"2","fixed",NA,"GreenSpaceInstitutional",1.04984105338537,0.220172638141996,4.76826304233268,1.85821063575192e-06
"3","fixed",NA,"GreenSpacePark",0.915630529141223,0.234627230226383,3.90249046650624,9.52079893017584e-05
"4","fixed",NA,"GreenSpacePublic Right-Of-Way",1.96388602321894,0.209172308066585,9.38884330039414,6.06627679079105e-21
"5","fixed",NA,"GreenSpaceResidential",2.05725775888313,0.20896838667841,9.84482768701817,7.21627772186395e-23
"6","fixed",NA,"GreenSpaceVacant Lot",-0.160511427175149,0.275459560326255,-0.58270414352306,0.560092483390584
"7","ran_pars","Plot","sd__(Intercept)",0.180942807225094,NA,NA,NA
