"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",1.50418303808333,0.17866255829115,8.41912850946699,3.79295169945335e-17
"2","fixed",NA,"GreenSpaceInstitutional",1.13054062169831,0.212408977744519,5.32247098829366,1.02367114108509e-07
"3","fixed",NA,"GreenSpacePark",0.828312080827289,0.228310144353799,3.62801260176903,0.000285611323518647
"4","fixed",NA,"GreenSpacePublic Right-Of-Way",1.34043928662314,0.20232362735969,6.62522367810316,3.46722750525531e-11
"5","fixed",NA,"GreenSpaceResidential",1.14824368394099,0.202075421921534,5.68225305691481,1.32931772677665e-08
"6","fixed",NA,"GreenSpaceVacant Lot",0.0625240007577749,0.250138708087848,0.24995731862426,0.802620355864602
"7","ran_pars","Plot","sd__(Intercept)",0.27594773758262,NA,NA,NA
"8","ran_pars","Residual","sd__Observation",0.579388153009102,NA,NA,NA
