"","GreenSpace","emmean","SE","df","asymp.LCL","asymp.UCL"
"1","Commercial",0.67457113646284,0.195803808469316,Inf,0.290802723827202,1.05833954909848
"2","Institutional",1.67235387549583,0.214420808093838,Inf,1.25209681409593,2.09261093689572
"3","Park",1.38656285769324,0.220229170469642,Inf,0.954921615227614,1.81820410015887
"4","Public Right-Of-Way",1.70317704697836,0.194275139680153,Inf,1.32240477011377,2.08394932384295
"5","Residential",1.28297157083832,0.183511705636682,Inf,0.923295237048912,1.64264790462774
"6","Vacant Lot",1.08593347866372,0.273991450150001,Inf,0.548920104297818,1.62294685302962
