"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",5.11817893681381,0.173752880019364,29.456656696818,1.03457978901522e-190
"2","GreenSpaceInstitutional",-0.200673782904237,0.235419547198894,-0.852409178812573,0.393987027451989
"3","GreenSpacePark",-0.0560731270683066,0.250122417405353,-0.224182732799329,0.822615118785306
"4","GreenSpacePublic Right-Of-Way",0.981565303695288,0.224953416244144,4.36341585775246,1.280472038337e-05
"5","GreenSpaceResidential",0.245084649724043,0.225200013768735,1.08829766758242,0.276463719889216
"6","GreenSpaceVacant Lot",0.248016980365901,0.274487984633075,0.903562247715289,0.366227567167162
